"country","year","happy","trust","authority","petition","god","homosex","abortion","proud","postmat","autonomy"
"DZA",2010,1.98833333333334,1.84666666666668,1.58500000000001,2.50833333333332,9.54666666666671,2.18666666666667,2.56499999999999,1.46500000000001,1.80000000000001,-0.395000000000001
"ECU",2010,1.4995787700084,1.92839090143218,1.18534119629316,2.56529064869415,9.29823083403535,2.89721988205553,2.112047177759,1.10867733782644,1.86267902274639,-0.45240101095198
"ECU",2017,1.502329916123,1.94128611369987,1.11556383970175,2.38397017707362,9.24883504193842,3.69804287045664,2.53774464119289,1.17241379310343,1.86766076421247,-0.684063373718543
"EGY",1999,1.93444909344485,1.61854951185493,1.18096234309622,2.23326359832633,9.63493723849364,1.00557880055783,2.16527196652721,1.18898186889818,1.61541143654112,-0.583682008368197
"EGY",2005,0,0,0,0,0,0,0,0,0,0
"EGY",2010,0,0,0,0,0,0,0,0,0,0
"EGY",2017,0,0,0,0,0,0,0,0,0,0
"ESP",1990,1.94895759688793,1.67822925300049,1.3600021014261,2.24328144251957,5.74998900308401,4.71351365283949,5.08489575366909,1.75623583144921,1.87871745149551,-0.0273126399411601
"ESP",1995,1.93669895827108,1.7078842082533,1.33849899149449,2.20952189615857,6.88200849731072,5.45888737641549,4.39577025187968,1.44998376546818,1.91515011501471,-0.167801748879387
"ESP",1999,1.92970143334737,1.63340065778616,1.47017685084148,2.12666779036486,5.7066227136549,6.14089293681868,4.88454923351647,1.49350357978479,1.86551168931807,0.0804111307938502
"ESP",2005,1.95264528961386,1.78410851421553,1.22090545314039,2.06050619546608,5.26801845141676,6.61622062010176,5.64671847380498,1.45639739187243,1.74896988312558,0.14550563811199
"ESP",2010,2.00083832183971,1.80220549842433,1.34064505315061,2.11397323312792,5.00082071356171,7.05631849332795,5.45992144675937,1.54526696682635,1.75418975527215,0.38853693149192
"EST",1995,2.2910569105691,1.78536585365853,1.69430894308943,2.26016260162602,4.16260162601626,2.60650406504065,5.17886178861789,2.09918699186992,1.63577235772358,0.850406504065041
"EST",2010,2.10547083013917,1.59927305918021,1.81681497901482,2.36469866002364,4.40709628725889,3.24179633636459,4.93513750208701,2.10607941905288,1.72590261378084,0.44173756844997
"ETH",2005,2.16761687571264,1.74572405929302,1.54732041049029,2.12998859749143,9.18928164196135,1.50969213226908,2.13112884834662,1.31698973774228,1.81870011402507,0.385404789053593
"ETH",2017,1.79781962338949,1.90089197224977,1.59762140733398,2.53815659068384,9.84440039643209,1.62636273538154,1.7710604558969,1.16848364717542,1.67591674925669,-0.496531219028741
"FIN",1981,0,0,0,0,0,0,0,0,0,0
"FIN",1995,1.82582216808771,1.50913520097443,2.14981729598054,1.77831912302072,5.79658952496961,4.64920828258224,5.12545676004876,1.66260657734471,2.2119366626066,0.623629719853835
"FIN",2005,1.77901065914625,1.40288757810189,1.906304169048,1.65978963212011,5.99285239571136,6.040431882431,5.55416516029582,1.493213186898,1.85551950355314,0.910370433851827
"FRA",2005,1.74078157373112,1.81876211628182,1.17610794943316,1.41912564033789,4.53875761127031,6.46913022774887,6.5282912918134,1.8533910391949,1.91814183526833,0.422455375633625
"GBR",1995,0,0,0,0,0,0,0,0,0,0
"GBR",2005,1.5511785769221,1.68666970549733,1.24641892899535,1.37181990526187,5.32643018695482,5.75840814440758,5.11298967644552,1.56387699440645,2.1638591981658,0.401529334717847
"GBR",2017,1.78087838157365,1.51768809940774,1.54633221323499,1.27366941315354,3.8734474605147,7.90812763371562,6.98564548598305,1.84696891036514,1.9661300770768,0.738959244470066
"GEO",1995,2.26536822884968,1.81984175289108,1.25562994522216,2.5672550213025,7.6695069993913,1.55690809494826,3.83627510651251,1.41022519780888,1.58307973219721,0.330493000608643
"GEO",2005,2.22539098436063,1.81048758049676,1.3311867525299,2.64765409383624,9.25482980680782,1.17663293468261,2.56025758969643,1.22815087396504,1.65317387304507,-0.134314627414904
"GEO",2010,2.14598540145986,1.91423357664237,1.43248175182484,2.62499999999995,9.15145985401459,1.23905109489053,1.80930656934309,1.2682481751825,1.61405109489053,0.0447080291970803
"GHA",2005,1.72848664688431,1.92062314540066,1.07715133531161,2.52151335311575,9.79154302670634,1.72329376854604,2.1758160237389,1.08011869436205,1.73961424332349,-0.72848664688428
"GHA",2010,1.71489457919961,1.94961653900125,1.06978649461515,2.71772252663015,9.66522197683767,1.37191070748248,1.61728625456487,1.05265309788789,1.6613610387519,-0.698204888353391
"GRC",2017,2.20107342610018,1.9203548379854,2.0230215679711,2.24440491958374,8.17547541792454,4.69509705387865,4.53288474968813,1.2997372194309,1.68939665705665,0.376668790544542
"GTM",1999,1.79031994885931,1.84850361675296,1.1190187733207,2.36125880082323,9.72455716180702,3.10472182085586,2.27037418282218,1.1754775938637,1.68619482811766,-0.562565181419776
"GTM",2017,1.6105072463768,1.83695652173913,1.3623188405797,2.32608695652172,8.55615942028985,3.51086956521737,2.85869565217389,1.42210144927535,1.8641304347826,-0.157608695652174
"HKG",2005,0,0,0,0,0,0,0,0,0,0
"HKG",2010,1.89508928571427,1.52455357142856,1.76004464285713,1.99218749999997,4.87388392857143,4.20089285714288,3.2154017857143,2.13281249999998,1.90513392857141,0.880580357142859
"HKG",2017,2.09746904800802,1.6300333007618,2.0784159009104,2.18519147509914,4.84488566337418,4.97896493532362,3.82312483290374,2.21515601744799,1.80561605237626,0.785255303655832
"HRV",1995,2.23523093447905,1.73899033297528,2.16219119226638,1.70676691729323,6.22771213748658,4.16541353383455,5.58431793770138,1.7733619763695,1.88184747583243,0.731471535982813
"HUN",1981,0,0,0,0,0,0,0,0,0,0
"HUN",1995,2.08458646616541,1.74812030075187,1.68045112781954,1.97744360902255,5.28571428571431,3.53383458646617,5.38909774436091,1.61090225563909,1.44924812030074,0.62406015037594
"HUN",2005,2.0895260656664,1.70721983824081,1.33371206731196,2.55365245814563,5.36751261425254,4.17433996178936,4.67212928005424,1.7289022898617,1.55930525924173,0.844426443021802
"IDN",1999,1.83430232558139,1.49127906976743,2.02180232558137,2.67151162790694,9.9316860465117,1.14244186046511,1.28488372093022,1.57703488372092,1.63517441860464,-0.258720930232558
"IDN",2005,1.79330855018591,1.5851301115242,2.43866171003718,2.6364312267658,9.58215613382884,1.32788104089222,1.48773234200746,1.61412639405208,1.62081784386621,-0.202230483271375
"IDN",2017,1.62156172359924,1.95426138287899,1.90560229118155,2.62583406758195,9.71981843638628,1.60260109070695,1.59767133835195,1.21497761485184,1.84047034351875,-0.308975529439247
"IND",1990,2.06095717884127,1.65591939546598,1.67052896725438,2.02267002518888,7.43073047858924,1.18841309823676,3.480604534005,1.29874055415615,1.65994962216622,-0.261460957178841
"IND",1995,1.91234684260133,1.56550424128182,1.75117813383601,2.03770028275214,7.96135721017902,1.78228086710648,2.80772855796421,1.34967012252592,1.57964184731387,-0.307257304429784
"IND",1999,2.01157184185151,1.59016393442625,1.67309546769529,2.04339440694311,6.65284474445523,2.86595949855354,3.39537126325941,1.35679845708777,1.62970106075219,0.231436837029894
"IND",2005,1.8927875243665,1.76998050682265,1.62183235867449,2.13352826510724,7.43762183235876,2.94054580896689,3.27387914230022,1.26900584795324,1.6647173489279,0.206627680311891
"IND",2010,1.80409731113962,1.82458386683747,1.78787878787883,2.39991463935123,8.2774221084081,1.56209987195908,1.4997865983782,1.31796841656002,1.62057191634662,0.084933845497226
"IRN",1999,0,0,0,0,0,0,0,0,0,0
"IRN",2005,0,0,0,0,0,0,0,0,0,0
"IRN",2017,2.21393384940185,1.85151301900075,1.76636171710066,2.33919774806474,9.32301196340593,1.61224489795922,2.74806474313861,1.22800844475724,1.84447572132305,0.0204081632653061
"IRQ",1999,0,0,0,0,0,0,0,0,0,0
"IRQ",2005,0,0,0,0,0,0,0,0,0,0
"IRQ",2010,2.25179119754347,1.66837256908903,1.30603889457521,2.53121801432955,9.80348004094168,1.71852610030702,2.31729785056289,1.57727737973385,1.60900716479016,-0.819856704196522
"IRQ",2017,0,0,0,0,0,0,0,0,0,0
"ISR",1999,1.96976016684048,1.76955161626695,1.59332638164758,1.89051094890514,7.86861313868622,4.88842544316999,5.18873826903026,1.66319082377479,1.98227320125131,0.571428571428571
"ITA",2005,1.91720569210869,1.69987063389393,1.60025873221217,1.58602846054335,7.93143596377757,3.3583441138422,3.49417852522642,1.68434670116431,2.01681759379045,0.420439844760673
"JOR",1999,2.0748702267495,1.73403860678998,1.11878302360034,2.74649746343151,9.97403433274302,1.0509495045982,1.47272970143018,1.33956914823178,1.65016272793623,-0.925096276430333
"JOR",2005,1.84080086328232,1.68695533393477,1.07856040403042,2.85843719999581,9.90911833981353,1.02146779533686,1.2173034156783,1.29771942238054,1.54975444144414,-0.742775988454343
"JOR",2010,1.98165938864627,1.87423580786024,1.15720524017467,2.80786026200879,9.74847161572036,1.28908296943231,1.92139737991268,1.16593886462882,1.42969432314411,-0.642794759825331
"JOR",2017,1.92083712465876,1.83621474067331,1.15832575068243,2.71792538671517,9.59599636032756,1.21110100090991,1.87625113739765,1.11373976342128,1.62511373976341,-0.801637852593265
"JPN",1981,2.0176497368125,1.52971235349743,2.77149317017691,1.58846155324324,4.75714731383566,2.56401318249169,3.65349537654992,2.02895609781294,1.71685533525672,0.583322311301229
"JPN",1990,2.00196463654222,1.5500982318271,2.77996070726916,1.49508840864439,4.79764243614932,2.63064833005895,3.93123772102162,2.0255402750491,1.7878192534381,1.05893909626718
"JPN",1995,1.74739970282317,1.54383358098068,2.01188707280831,1.52897473997028,4.81872213967309,3.48142644873699,4.44725111441306,2.0965824665676,1.80237741456166,1.07578008915304
"JPN",1999,1.84149484536082,1.5541237113402,2.76546391752576,1.42139175257731,4.86726804123713,4.40335051546392,4.77448453608249,2.2061855670103,1.91752577319587,1.40850515463917
"JPN",2005,1.83130699088147,1.58662613981764,2.81155015197569,1.50911854103345,4.90577507598784,4.7644376899696,4.65349544072949,2.21732522796353,1.84346504559272,1.40121580547113
"JPN",2010,1.78816466552314,1.57289879931388,2.76672384219553,1.81132075471698,4.72898799313891,5.15780445969124,4.81560891938249,2.0034305317324,1.84734133790736,1.28130360205831
"JPN",2017,1.80876979293546,1.61875761266749,2.82947624847751,1.5249695493301,4.44336175395863,6.68087697929361,4.94153471376375,1.84652862362974,1.8623629719854,1.17539585870889
"KAZ",2010,1.80466617479367,1.61659273688601,1.51219317380745,2.81866062766303,7.26802546957833,2.18814063953729,3.45759724102316,1.4403772170346,1.46700163221401,0.453912660924651
"KAZ",2017,1.78200692041525,1.75663206459057,1.80161476355249,2.72318339100345,7.67820069204157,2.15570934256055,3.29181084198386,1.56401384083046,1.68742791234143,0.414071510957324
"KEN",2017,1.66485507246373,1.91485507246372,1.25724637681156,2.26449275362316,9.06431159420294,2.86594202898547,3.56159420289852,1.61865942028982,1.83876811594199,-0.412137681159422
"KGZ",1999,1.95816326530612,1.83061224489797,1.70204081632652,2.58673469387751,7.79183673469394,1.76938775510202,2.59285714285713,1.80102040816326,1.71938775510204,0.44183673469388
"KGZ",2010,1.68483943241227,1.62061239731145,1.60642270351011,2.84839432412245,8.39507094846899,1.84615384615387,2.31889469753546,1.50112023898434,1.58700522778195,0.489171023151608
"KGZ",2017,1.36162693034657,1.8679458101557,1.46004325263369,2.68942314625904,9.30050341573907,1.42890212201322,1.65416264989912,1.27528204110957,1.71461410483026,0.260927320973384
"KOR",1981,0,0,0,0,0,0,0,0,0,0
"KOR",1990,0,0,0,0,0,0,0,0,0,0
"KOR",1995,0,0,0,0,0,0,0,0,0,0
"KOR",1999,2.0306406685237,1.7168059424327,2.38068709377899,1.58124419684308,5.55153203342614,2.81615598885793,3.42896935933147,2.07520891364903,1.60631383472609,0.847725162488403
"KOR",2005,2.00747241584988,1.71633861936823,2.12666883777927,1.8870948373689,5.56924426143804,2.80372045654706,3.51894571824662,1.93018069904665,1.48099205899892,0.774352916151902
"KOR",2010,1.95087144002771,1.72820759815573,2.12868869865789,2.03649244309781,5.3665595146048,3.30941584374758,3.35216382312035,1.86373398303012,1.60115463886966,0.783861687165065
"KOR",2017,2.06907630522088,1.67068273092369,2.22891566265062,2.17751004016066,5.03614457831324,3.23212851405626,3.9116465863454,2.09477911646586,1.59116465863454,0.949397590361434
"KWT",2010,0,0,0,0,0,0,0,0,0,0
"LBN",2010,2.01801801801803,1.89752252252255,1.46846846846848,2.44707207207209,8.48423423423431,2.88851351351353,3.00112612612615,1.8310810810811,1.75225225225227,0.11036036036036
"LBN",2017,1.97246127366612,1.90275387263343,1.32271944922549,2.62478485370048,9.19707401032705,2.34165232358004,2.3631669535284,1.58433734939761,1.6660929432014,0.278829604130807
"LBY",2010,1.76894712953102,1.8966173324559,1.21788531090467,2.69375925275094,9.76550628948553,1.80573439754401,1.74969388734906,1.2545537103054,1.74671669400097,-0.789097883832536
"LBY",2017,1.72361809045229,1.90251256281411,1.17587939698494,2.62613065326633,9.9407035175878,1.0884422110553,1.52964824120605,1.1849246231156,1.63316582914576,-0.809045226130663
"LTU",1995,2.4128,1.78080000000002,1.64320000000002,2.0448,6.60000000000001,2.00160000000002,3.98399999999999,2.14080000000001,1.61600000000002,0.6352
"LVA",1995,2.2061855670103,1.72312223858615,2.22238586156111,1.90279823269513,5.580265095729,2.99705449189984,5.29602356406478,2.21649484536082,1.67304860088365,0.543446244477171
"MAC",2017,1.94678492239467,1.56319290465632,2.03325942350334,2.35587583148561,4.03436807095344,5.2350332594235,3.7849223946785,2.02217294900222,1.78492239467849,0.842572062084252
"MAR",1999,0,0,0,0,0,0,0,0,0,0
"MAR",2005,0,0,0,0,0,0,0,0,0,0
"MAR",2010,1.99127182044886,1.87157107231918,1.34289276807979,2.76932668329174,9.85785536159587,1.24688279301744,1.73441396508727,1.40523690773066,1.58229426433913,-0.400249376558603
"MAR",2017,2.05793450881608,1.83627204030222,1.50797649034423,2.31486146095715,9.01259445843835,2.76574307304783,3.62384550797648,1.68261964735513,1.65407220822835,-0.29471032745592
"MDA",1995,2.55415617128461,1.78463476070531,1.43954659949623,2.42443324937026,7.00629722921918,1.89420654911837,3.79345088161207,1.90680100755668,1.47607052896725,0.0188916876574308
"MDA",1999,2.47034147007511,1.85506928142672,1.6384658130826,2.3689864903722,7.24293767214489,2.40376797296933,3.6754189272974,2.22613111037225,1.54386215953667,0.171520452644074
"MDA",2005,2.49942726231385,1.82474226804123,1.68613974799541,2.46391752577319,8.15922107674682,2.28751431844215,3.04925544100801,2.21534936998854,1.66093928980526,0.139747995418099
"MDV",2017,1.85492227979278,1.78549222797931,1.24145077720209,2.03730569948188,9.87150259067361,1.26010362694303,2.5740932642487,1.41243523316064,1.71295336787568,-0.836269430051816
"MEX",1981,1.85837981927762,1.82824078016114,1.37473982413754,2.39538755823395,8.90983263596695,2.0291399599999,2.52376988395665,1.47240030715367,1.80284739355471,-0.518857713626545
"MEX",1990,2.02243902439025,1.67024390243903,1.48292682926829,1.87024390243903,8.11414634146341,2.92390243902439,3.79024390243903,1.54634146341464,1.88,0.0809756097560976
"MEX",1995,1.96302816901408,1.73327464788735,1.41285211267605,1.88204225352114,8.2156690140844,2.90404929577466,2.69014084507043,1.31514084507042,1.96919014084509,-0.130281690140845
"MEX",1999,1.48967104121572,1.78621132388808,1.30032745204026,2.23636358329842,9.39584638338133,3.73773162425126,2.741819438805,1.27694440842298,1.88600595245922,-0.33946771442471
"MEX",2005,1.4951528709918,1.84265473527215,1.17673378076062,2.17076808351977,9.39895600298295,4.51454138702462,3.1126025354213,1.20805369127516,2.02386278896345,-0.175988068605519
"MEX",2010,1.38562434417626,1.87355718782792,1.22455403987406,2.23452256033574,9.36935991605442,4.1799580272822,2.87513116474283,1.21091290661068,2.03515215110177,-0.249737670514166
"MEX",2017,1.48686304166107,1.89331385509754,1.46906457652942,2.44144836611506,8.57716129263754,4.38947629469165,3.29886019121649,1.38131352229544,1.92373709774881,-0.313992680025749
"MKD",1995,2.27694859038144,1.93034825870646,1.57048092868989,2.21061359867331,5.91542288557214,1.7761194029851,5.0530679933665,1.40298507462688,1.59535655058044,0.88557213930348
"MKD",1999,2.07716003766297,1.87186857559872,1.58326093112237,2.03953713231994,7.50154312248061,1.99408143579687,3.81641815096958,1.63650590843482,1.67328761289105,0.71605556438041
