"state","year","state_fips","ranney1_sen_dem_prop","ranney2_hs_dem_prop","dempid_est","reppid_est","dempid_se","reppid_se","policysociallib_est","policyeconlib_est","masssociallib_est","masseconlib_est","policysociallib_se","policyeconlib_se","masssociallib_se","masseconlib_se","dem_prez_vote","rep_prez_vote"
"Texas",1956,48,1,1,0.626910542269042,0.180235316068019,0.009066712766657,0.0069434526353794,-0.648950807275429,-0.411348435747304,-0.507752217286105,0.106755566932307,0.736969195933398,0.297931469364253,0.10995342664115,0.0913219484485459,44,55.3
"Texas",1957,48,1,1,0.629433166963925,0.163620054026468,0.0092112492470188,0.0067995878576628,-0.757001381349911,-0.376846258626623,-0.431433058204261,0.188324368466097,0.714921002442689,0.298533164043647,0.108744184803363,0.0810894308455262,NA,NA
"Texas",1958,48,1,1,0.635149403603035,0.152069224422966,0.0092356598237086,0.0069057412069592,-0.708314570263994,-0.241557439211935,-0.579978743944069,-0.0307209429102954,0.694302155421057,0.311353653500241,0.090089758676587,0.112159109065841,NA,NA
"Texas",1959,48,1,1,0.630602870546834,0.142042994737396,0.0095167205707187,0.0068370311304019,-0.825015458677422,-0.294346621290856,-0.363676687542226,0.0476689532932948,0.756055482599683,0.311729378563899,0.0968211683058242,0.0770415355573962,NA,NA
"Texas",1960,48,1,1,0.62503286386513,0.137714645276671,0.0102169931817531,0.0071473626396449,-0.797824581433985,-0.344598946924786,-0.494228291890853,0.0276505280154278,0.669349747921516,0.291009302022008,0.146172991731185,0.120004561410888,50.5,48.5
"Texas",1961,48,1,1,0.614356156411611,0.137247648949864,0.0100485643007006,0.0068312525793455,-0.790901311174463,-0.367612904113435,-0.615275473508767,-0.0027269927667038,0.659112272223,0.292402582442614,0.0952216680625299,0.108153720973693,50.5,48.5
"Texas",1962,48,1,0.9533333,0.610935755799306,0.136826630858955,0.0097273155489041,0.0063598782436509,-0.81944112394096,-0.237202974587891,-0.516860474645677,-0.140236171577679,0.681316460718904,0.318691395109285,0.165461363695228,0.106566939936096,50.5,48.5
"Texas",1963,48,1,0.9533333,0.599870961569651,0.139651285897549,0.0086996121104655,0.005578606845534,-0.797759630504957,-0.26536885542491,-0.547377036164716,0.180327841161662,0.669616685997147,0.290541163297036,0.121238809775482,0.10866370093192,50.5,48.5
"Texas",1964,48,1,0.9933333,0.603047813439475,0.137584094973183,0.0080064410481575,0.0056755336407557,-0.827564115231082,-0.29393599016668,-0.436381870644917,0.176041317367355,0.647304391743344,0.301911184140905,0.0985184796682963,0.0711511505462609,63.3,36.5
"Texas",1965,48,1,0.9933333,0.595952132490199,0.140399787528287,0.0077567693308456,0.0049996280337898,-0.91829718432843,-0.33230648088801,-0.616421131476503,-0.0695983857934919,0.60868438159528,0.299440030780221,0.0945154070075911,0.0889983035331545,63.3,36.5
"Texas",1966,48,0.9677419,0.98,0.588120339918331,0.140280710775769,0.0081837948242525,0.005542887000242,-0.962211335913217,-0.36963581685668,-0.709917613332563,-0.126842103768009,0.632052062396799,0.323535963181168,0.0880490363544493,0.104804527131083,63.3,36.5
"Texas",1967,48,0.9677419,0.98,0.582004445877209,0.140406233975291,0.0082926567596012,0.0055820839120967,-1.06394265898082,-0.336588665302107,-0.455971183194492,-0.116234479036569,0.643777955149107,0.333509358118216,0.108242319548986,0.105685029013566,63.3,36.5
"Texas",1968,48,0.9354839,0.9466667,0.576356059123173,0.136439313058442,0.0082347900954368,0.0054706468239042,-1.08190159757308,-0.638418197181549,-0.407874108130677,0.0114015771486132,0.644212598241176,0.34412013279071,0.0770515597328171,0.0832284296871847,41.1,39.9
"Texas",1969,48,0.9354839,0.9466667,0.566636085547913,0.136196521560493,0.0084363344148004,0.0056812169147647,-1.2085436066841,-0.437552171389413,-0.449284765517533,0.247514528056224,0.645884870000863,0.345752462862874,0.11546590236285,0.117895485289961,41.1,39.9
"Texas",1970,48,0.9354839,0.9333333,0.56220278240726,0.134200511553656,0.0083760823225623,0.0056845265340895,-1.14693142119019,-0.398496656012062,-0.365361377205691,0.16038849442612,0.624214054695269,0.330342261673407,0.136628432283495,0.19107491089821,41.1,39.9
"Texas",1971,48,0.9354839,0.9333333,0.55336458105951,0.135009229035486,0.0085433889234963,0.0058776638591629,-1.21115764648286,-0.303595300552723,-0.355675076757317,0.268313004471406,0.590954288276651,0.327375534618684,0.122649738316443,0.129225092290739,41.1,39.9
"Texas",1972,48,0.9032258,0.8866667,0.548633938759336,0.132223335494756,0.0085543687145918,0.0059946146151428,-0.859345642188151,-0.637009424312356,-0.353422038416249,0.0141043960295084,0.428917696807268,0.338418038404718,0.108497535999429,0.141462368932892,33.2,66.2
"Texas",1973,48,0.9032258,0.8866667,0.550074641729563,0.12981344726678,0.0087607874019055,0.006204613627478,-0.475290373144908,-0.61969041368575,-0.375637779721253,0.192969658254663,0.431127783119685,0.356761297875664,0.131965062799402,0.107732421962246,33.2,66.2
"Texas",1974,48,0.9032258,0.9,0.552095388155182,0.130787436281751,0.0090540745965427,0.0059673595760451,-0.480122055496977,-0.793182997232282,-0.360442570034248,-0.0676823281998836,0.418700529907328,0.369000798564225,0.118802567230983,0.110967859256625,33.2,66.2
"Texas",1975,48,0.9032258,0.9,0.548796167980953,0.133440180261215,0.0085314264415361,0.0060796661975805,-0.49971884005071,-0.760050923613575,-0.405287758007354,-0.0719898837999605,0.416083041885023,0.33345908479593,0.118185509833656,0.140567961281379,33.2,66.2
"Texas",1976,48,0.9032258,0.88,0.543872709978269,0.13800837068308,0.0079316032803003,0.0054065323525871,-0.512678608800893,-0.803566616109997,-0.316323558265233,-0.115365818058753,0.433673818406004,0.339776179865274,0.10335583085126,0.130886417084599,51.1,48
"Texas",1977,48,0.9032258,0.88,0.53951712076013,0.147194854353682,0.0078443813344683,0.0055812050325763,-0.552235354154735,-1.04636708738507,-0.444060177975708,-0.299716276115164,0.454974199355996,0.299158218790396,0.121174093488039,0.152165888265079,51.1,48
"Texas",1978,48,0.8709677,0.8533334,0.531737362197538,0.155832200886292,0.0075827532782448,0.0055800982307577,-0.583919049621839,-1.07073421143358,-0.362492613020274,-0.290005570790548,0.430915804338301,0.345441552311929,0.118764774899327,0.179470559928568,51.1,48
"Texas",1979,48,0.8709677,0.8533334,0.516703489787896,0.167075097459715,0.0073714449724308,0.0055216160615642,-0.609575836813668,-1.14472533525648,-0.20671526004599,-0.312551826762751,0.434459479533837,0.317117843532408,0.113593112842247,0.223823080297384,51.1,48
"Texas",1980,48,0.7741935,0.76,0.4961558495828,0.183136364011399,0.006617236591096,0.0052737254060783,-0.604548109219553,-1.18084707939118,-0.329672284539502,-0.232279639733516,0.407974573007013,0.308658313776487,0.102837852338115,0.166554133734534,41.4,55.3
"Texas",1981,48,0.7741935,0.76,0.472400286449929,0.20199905343123,0.0068134088508122,0.0055600575269998,-0.668487427959141,-1.23652840491679,-0.173267465543013,-0.168719579613715,0.418334051745257,0.330601183141731,0.118896585095076,0.213111069729574,41.4,55.3
"Texas",1982,48,0.8387097,0.76,0.45665027198949,0.213459761142526,0.0072956703352078,0.006075276093176,-0.693142210290497,-1.17245527065462,-0.352512758923814,-0.274044810150268,0.393549089946111,0.348960112212065,0.114768742771257,0.181284085753296,41.4,55.3
"Texas",1983,48,0.8387097,0.76,0.436829979874869,0.226738337482573,0.0066804159327201,0.0060799798652407,-0.242267112352102,-0.793203356996848,-0.245488147627633,-0.315808194121703,0.405131765155979,0.318481503309043,0.122818319318436,0.158443130349183,41.4,55.3
"Texas",1984,48,0.8064516,0.6533333,0.410584220512886,0.247805851324841,0.0068194567027158,0.0062181688757582,-0.274659488433144,-0.804942118704603,-0.312882343331261,-0.173815781568665,0.380783909046672,0.326051834793085,0.103295775506588,0.192204173758862,36.1,63.6
"Texas",1985,48,0.8064516,0.6533333,0.39186146674265,0.268539571166319,0.0067151952272963,0.0065021624196323,-0.285301417692013,-0.804464438564105,-0.277954311761873,-0.364392345150871,0.398553669520222,0.317118442531596,0.141337718935096,0.187085480304955,36.1,63.6
"Texas",1986,48,0.8064516,0.6266667,0.379553741846347,0.270811964520286,0.0064419594448535,0.006341554681743,-0.29797522452988,-0.849991057154421,-0.228460515319129,-0.199608327225389,0.367880914657349,0.322328936107794,0.133719077424289,0.172369657305158,36.1,63.6
"Texas",1987,48,0.8064516,0.6266667,0.373700485472519,0.27183183563848,0.0060298435260404,0.0057638625236516,-0.363158191064255,-0.839815998511265,-0.184077943781158,-0.252146715894336,0.41357997729179,0.347748895793955,0.115095925103263,0.122652102268151,36.1,63.6
"Texas",1988,48,0.7419355,0.62,0.372823542613044,0.272405815037006,0.0065567503971962,0.0061777650066829,-0.394001394503145,-0.903442772593951,-0.24176259342645,-0.088520920982695,0.392320297562656,0.330605873046787,0.139713475100015,0.105430667973511,43.3,56
"Texas",1989,48,0.7419355,0.62,0.366372937983537,0.279008007816004,0.0066658537905568,0.0059800974584163,-0.374196593795286,-0.924588381841703,-0.240696126725094,-0.0271018638836711,0.364611613566962,0.317768606173356,0.14677738679184,0.111042973954489,43.3,56
"Texas",1990,48,0.7419355,0.62,0.3595546306976,0.286170897978363,0.006398199827152,0.0062427711171638,-0.426259329826839,-1.06556229120224,-0.157506203086891,0.130514955905161,0.372700851028997,0.32522929411196,0.142833095117835,0.103165956531272,43.3,56
